Аренский Антон Степанович	Anton Arensky
Балакирев Милий Алексеевич	Mily Balakirev
Березовский Максим Созонтович	Maksym Berezovsky
Бородин Александр Порфирьевич	Alexander Borodin
Бортнянский Дмитрий Степанович	Dmitry Bortniansky
Варламов Александр Егорович	Alexander Egorovich Varlamov
Верстовский Алексей Николаевич	Alexey Verstovsky
Глазунов Александр Константинович	Alexander Glazunov
Глинка Михаил Иванович	Mikhail Glinka
Глиэр Рейнгольд Морицевич	Reinhold Glière
Гречанинов Александр Тихонович	Alexander Gretchaninov
Гурилёв Александр Львович	Aleksander Gurilyov
Даргомыжский Александр Сергеевич	Alexander Dargomyzhsky
Дегтярёв Степан Аникиевич	Stepan Degtyarev
Ипполитов-Иванов Михаил Михайлович	Mikhail Ippolitov-Ivanov
Кабалевский Дмитрий Борисович	Dmitry Kabalevsky
Калинников Василий Сергеевич	Vasily Kalinnikov
Кюи Цезарь Антонович	César Cui
Лядов Анатолий Константинович	Anatoly Lyadov
Ляпунов Сергей Михайлович	Sergei Lyapunov
Мусоргский Модест Петрович	Modest Mussorgsky
Направник Эдуард Францевич	Eduard Nápravník
Прокофьев Сергей Сергеевич	Sergei Prokofiev
Рахманинов Сергей Васильевич	Sergei Rachmaninoff
Римский-Корсаков Николай Андреевич	Nikolai Rimsky-Korsakov
Рубинштейн Антон Григорьевич	Anton Rubinstein
Свиридов Георгий Васильевич	Georgy Sviridov
Скрябин Александр Николаевич	Alexander Scriabin
Стравинский Игорь Фёдорович	Igor Stravinsky
Танеев Сергей Иванович	Sergei Taneyev
Чайковский Петр Ильич	Pyotr Ilyich Tchaikovsky
Чесноков Павел Григорьевич	Pavel Chesnokov
Шнитке Альфред Гарриевич	Alfred Schnittke
Шостакович Дмитрий Дмитриевич	Dmitri Shostakovich